"Alistipes","Bacteroides","Bifidobacterium","Blautia","Butyrivibrio","Caloramator","Clostridium","Coptotermes","Dethiobacter","Escherichia","Eubacterium","Faecalibacterium","Heliobacterium","Hespellia","Kineococcus","Lactobacillus","Listeria","Parabacteroides","Prevotella","Propionibacterium","Reinekea","Roseburia","Ruminococcus","Selenomonas","Synechococcus","Syntrophus","all_others"
3301,20626,600,1423,46,87,2721,417,1290,21,1061,2129,1177,18,5834,998,242,5581,107,151,3741,31,279,201,1306,279,4971
10464,19452,617,5306,657,637,7195,3091,3058,90,4816,8363,2004,483,8063,6114,1357,8276,466,2340,17652,470,2574,2180,3961,461,24980
19153,34085,844,3578,143,126,10063,611,4257,3,5764,8331,2976,84,16338,3436,1417,11282,28,2830,17083,771,3693,2950,2019,419,20601
6801,16768,124,2147,1454,120,10018,1960,2713,173,6089,8441,3473,28,2020,3857,450,1704,1608,542,10087,516,4238,280,0,0,26533
16561,25255,85,2130,532,842,10234,1299,9835,131,5304,7117,2612,447,1216,1002,1315,534,2,2603,17423,97,1928,600,0,0,28446
11546,8872,67,739,2,42,2437,273,145,19,169,3033,742,456,1072,1473,129,10927,0,2,3282,4,469,29,229,720,7624
784,5747,222,2000,78,149,4993,769,3657,75,1808,5413,685,93,1280,690,675,165,857,961,9087,73,757,137,0,0,19650
7920,10838,394,1627,116,80,3274,716,1984,77,2430,5660,2070,588,3561,3570,186,6114,1439,456,5583,214,850,289,1193,374,7710
1599,8220,659,2915,238,162,8385,888,948,6,4513,7844,2264,50,6859,2400,806,1654,837,833,9317,629,3235,34,2364,955,15128
2627,35318,7,2170,159,58,5255,125,4871,292,976,2262,3378,112,1286,822,345,1160,1713,129,9980,90,1596,18,0,0,8075
404,12240,340,1603,85,60,3447,535,1744,297,2124,4267,1724,746,4043,1526,589,2808,290,642,6916,402,3182,34,951,173,17823
8739,4279,245,3348,217,68,3388,1032,1575,48,1898,4602,872,184,3603,867,706,6296,80,295,7596,358,993,58,1872,429,12149
6453,20484,277,6649,3328,381,2929,159,1900,63,2469,4283,1171,196,6436,1540,240,5092,5,587,8459,129,1222,473,2065,616,11468
1908,30313,332,2237,178,92,2532,215,1746,28,4188,2433,1395,80,9122,2013,2212,4403,0,189,8077,608,2409,36,2717,570,9507
16155,20737,236,3804,333,102,3873,199,0,0,2980,3420,0,73,5173,3041,105,8744,1,0,0,1064,1594,46,733,140,5930
1062,20156,309,1010,145,30,1843,356,813,2631,1220,1438,1647,22,7195,724,97,3465,330,42,2746,658,735,36,437,43,3507
1176,9665,188,1911,34,184,5419,1564,1788,26,2174,5327,761,751,2158,1911,325,1132,495,283,6149,84,1223,211,1733,376,14307
1221,6143,831,1333,126,119,4815,923,1989,87,1583,5290,1207,130,592,500,104,896,636,2256,6577,372,423,775,0,0,12584
10491,13533,192,1276,154,467,2827,377,365,12,1914,2762,1293,8,6620,1881,121,10596,2,379,5186,116,602,326,1132,208,7680
5870,11476,150,1330,922,23,2942,765,2937,167,3914,5457,1317,50,4597,1619,576,3627,0,1946,8082,1316,1684,71,1214,194,12242
2034,23729,618,1963,50,428,3283,387,0,0,3685,2606,0,17,5952,2603,22,2806,2683,0,0,1444,1034,379,2003,130,9858
2183,18702,217,1680,99,208,3301,136,609,104,920,5429,1679,45,5958,1757,170,4338,3,322,3584,10,2213,22,2043,150,12752
8803,24163,176,1471,516,33,1849,157,1751,48,2680,3023,1177,25,9292,2280,707,5027,0,291,5564,1442,609,25,880,686,8389
11252,16580,3,2487,229,52,5474,722,3623,238,6330,5220,2568,446,1257,444,1771,1422,258,1069,11960,500,3245,911,0,0,23461
8372,17546,649,5025,1053,1118,6897,1340,6257,27,5638,10521,4599,1100,7793,4423,1181,6033,2090,3617,22081,651,2524,838,2338,1301,29659
12188,29459,867,5780,345,219,11462,902,2211,44,4927,17256,3824,1581,10313,4205,1052,9731,15,875,12430,123,7993,188,5329,358,17396
14872,63644,1000,4200,2964,127,6335,533,1,72,2493,5860,0,117,20853,3243,47,19250,7,0,0,3556,2519,50,4144,477,19564
6545,20001,180,2427,86,704,2696,1896,0,41,2907,2272,0,194,4498,5287,44,5342,0,0,0,11,1623,572,1762,616,7271
0,68992,743,3597,243,113,5121,17,310,38,5890,6716,3492,43,24331,4343,216,14467,5,213,10413,2591,4527,0,6613,19,18353
2273,20577,689,1457,15,39,2466,1848,3288,38,1707,3177,1257,245,9476,1746,436,3290,105,128,5656,262,347,100,811,126,14532
9397,22488,387,3610,71,247,5906,821,0,11,3023,2718,0,83,7165,6279,74,12281,6,0,0,355,1498,379,2308,137,11497
15158,28911,3,1964,340,343,2324,322,4159,19,1093,3290,1326,50,650,144,134,597,0,58,6441,469,1593,11,0,0,5521
4432,19263,1684,1562,52,388,4243,100,0,0,1563,2887,0,22,4675,4529,219,9138,0,0,0,138,2690,82,1998,308,9205
4950,43787,195,1107,225,1030,1540,664,152,162,1301,3878,1312,73,13398,660,200,6834,1,45,2820,805,810,83,520,142,4786
2097,21407,654,3421,125,112,6327,325,0,2,4517,1535,0,597,7522,5167,73,2473,1178,0,0,82,1193,203,2349,266,10828
2737,13317,149,1166,488,229,4603,700,832,5,1740,4393,1747,31,3838,1616,247,2663,328,762,6176,45,1236,813,1507,528,9341
7139,12918,581,1840,505,187,5477,308,436,17,1311,3292,3653,55,5736,2953,1343,5894,1,200,5055,275,4392,44,3102,1638,13809
