"Alistipes","Bacteroides","Bifidobacterium","Blautia","Butyrivibrio","Caloramator","Clostridium","Coptotermes","Dethiobacter","Dorea","Escherichia","Eubacterium","Faecalibacterium","Heliobacterium","Hespellia","Kineococcus","Lactobacillus","Listeria","Parabacteroides","Peptococcus","Prevotella","Propionibacterium","Reinekea","Riemerella","Roseburia","Ruminococcus","Selenomonas","Synechococcus","Syntrophus","all_others"
9624,38134,813,2738,60,240,9209,1912,7477,7,199,5777,3375,2664,201,2390,306,639,5798,2661,1,3495,18668,1,29,1651,248,0,0,21509
5926,17453,393,3393,451,188,12268,1284,3273,374,19,10181,6472,3707,334,8138,2384,721,6015,119,8,2059,15353,0,1167,4697,667,1408,226,18051
1886,6124,194,585,40,37,1539,307,0,51,1,472,542,0,155,1157,1384,36,2487,0,4,0,0,0,309,917,21,389,38,1964
3843,15308,1065,400,15,1427,8805,797,0,144,9,655,1702,0,27,5883,5071,21,5295,18,0,0,0,1,14,855,80,2024,255,7406
7127,37587,349,3482,33,7840,8754,1741,4111,386,367,1759,3961,10520,501,17084,9256,2264,11220,1,64,2287,16316,1,104,466,79,1721,98,33621
5908,19304,672,3105,970,154,7778,563,4353,11,1489,6638,14629,2915,818,1238,5192,2010,808,374,39,1953,13517,0,272,3611,168,0,0,19445
3568,9302,753,3425,11,2467,4635,716,1049,93,1620,323,4259,2727,2312,3345,633,179,3474,9,41,914,9416,1,11,550,42,932,45,11257
16573,18368,431,376,54,2420,4973,127,461,17,970,259,836,2542,3124,2932,1518,452,14932,238,10,194,6131,30,41,590,101,354,95,7346
4947,55455,164,2011,519,78,5500,1846,2248,125,68,5414,7527,4325,199,2498,1847,378,5666,163,53,208,16095,9,2003,2849,201,0,0,15163
631,25684,323,3690,988,403,11626,2461,0,501,1,3829,1854,0,608,6454,8133,72,1711,187,3280,0,0,0,403,1246,482,1944,2274,12872
19994,25081,289,5515,373,298,7527,676,0,1240,63,3501,5404,0,34,7414,4807,224,12699,0,1,0,0,2,2549,3352,68,697,428,9071
665,22236,160,820,7,158,2046,200,480,25,38,1797,1615,1085,3,9206,835,309,6668,0,4,87,6389,29,262,1310,69,1010,162,9761
151,11674,1646,1118,60,304,2977,4696,390,824,91,1417,6185,1052,12,6374,908,620,1968,0,68,658,8368,0,3,2384,229,637,236,13491
2601,13420,1160,2609,165,176,5739,312,1286,1133,106,2661,5087,2280,182,5723,2697,185,4561,3,12,142,5220,0,1842,590,140,1332,426,7503
53,8919,401,1290,167,156,3935,979,1928,12,33,2369,4577,2861,86,1767,1807,390,434,172,3005,702,6081,1406,315,626,170,604,745,10649
4988,15425,1177,2800,44,141,4276,1710,4066,63,25,821,7495,2523,88,5638,2111,1284,10218,91,0,383,8263,5782,123,3589,138,1432,516,17658
3301,20626,600,1423,46,87,2721,417,1290,101,21,1061,2129,1177,18,5834,998,242,5581,0,107,151,3741,2,31,279,201,1306,279,4868
10464,19452,617,5306,657,637,7195,3091,3058,301,90,4816,8363,2004,483,8063,6114,1357,8276,224,466,2340,17652,0,470,2574,2180,3961,461,24455
19153,34085,844,3578,143,126,10063,611,4257,165,3,5764,8331,2976,84,16338,3436,1417,11282,1,28,2830,17083,1,771,3693,2950,2019,419,20434
6801,16768,124,2147,1454,120,10018,1960,2713,16,173,6089,8441,3473,28,2020,3857,450,1704,632,1608,542,10087,2368,516,4238,280,0,0,23517
16561,25255,85,2130,532,842,10234,1299,9835,44,131,5304,7117,2612,447,1216,1002,1315,534,1224,2,2603,17423,0,97,1928,600,0,0,27178
11546,8872,67,739,2,42,2437,273,145,12,19,169,3033,742,456,1072,1473,129,10927,1,0,2,3282,0,4,469,29,229,720,7611
784,5747,222,2000,78,149,4993,769,3657,71,75,1808,5413,685,93,1280,690,675,165,0,857,961,9087,0,73,757,137,0,0,19579
7920,10838,394,1627,116,80,3274,716,1984,42,77,2430,5660,2070,588,3561,3570,186,6114,20,1439,456,5583,0,214,850,289,1193,374,7648
1599,8220,659,2915,238,162,8385,888,948,276,6,4513,7844,2264,50,6859,2400,806,1654,98,837,833,9317,2,629,3235,34,2364,955,14752
2627,35318,7,2170,159,58,5255,125,4871,19,292,976,2262,3378,112,1286,822,345,1160,1,1713,129,9980,0,90,1596,18,0,0,8055
404,12240,340,1603,85,60,3447,535,1744,311,297,2124,4267,1724,746,4043,1526,589,2808,6,290,642,6916,8590,402,3182,34,951,173,8916
8739,4279,245,3348,217,68,3388,1032,1575,100,48,1898,4602,872,184,3603,867,706,6296,7,80,295,7596,0,358,993,58,1872,429,12042
6453,20484,277,6649,3328,381,2929,159,1900,134,63,2469,4283,1171,196,6436,1540,240,5092,0,5,587,8459,41,129,1222,473,2065,616,11293
1908,30313,332,2237,178,92,2532,215,1746,149,28,4188,2433,1395,80,9122,2013,2212,4403,0,0,189,8077,0,608,2409,36,2717,570,9358
16155,20737,236,3804,333,102,3873,199,0,240,0,2980,3420,0,73,5173,3041,105,8744,2,1,0,0,1,1064,1594,46,733,140,5687
1062,20156,309,1010,145,30,1843,356,813,53,2631,1220,1438,1647,22,7195,724,97,3465,0,330,42,2746,0,658,735,36,437,43,3454
1176,9665,188,1911,34,184,5419,1564,1788,38,26,2174,5327,761,751,2158,1911,325,1132,3,495,283,6149,2171,84,1223,211,1733,376,12095
1221,6143,831,1333,126,119,4815,923,1989,8,87,1583,5290,1207,130,592,500,104,896,1361,636,2256,6577,108,372,423,775,0,0,11107
10491,13533,192,1276,154,467,2827,377,365,91,12,1914,2762,1293,8,6620,1881,121,10596,0,2,379,5186,1,116,602,326,1132,208,7588
5870,11476,150,1330,922,23,2942,765,2937,342,167,3914,5457,1317,50,4597,1619,576,3627,2,0,1946,8082,3,1316,1684,71,1214,194,11895
2034,23729,618,1963,50,428,3283,387,0,1772,0,3685,2606,0,17,5952,2603,22,2806,0,2683,0,0,0,1444,1034,379,2003,130,8086
2183,18702,217,1680,99,208,3301,136,609,22,104,920,5429,1679,45,5958,1757,170,4338,0,3,322,3584,0,10,2213,22,2043,150,12730
8803,24163,176,1471,516,33,1849,157,1751,16,48,2680,3023,1177,25,9292,2280,707,5027,0,0,291,5564,0,1442,609,25,880,686,8373
11252,16580,3,2487,229,52,5474,722,3623,23,238,6330,5220,2568,446,1257,444,1771,1422,6,258,1069,11960,10029,500,3245,911,0,0,13403
8372,17546,649,5025,1053,1118,6897,1340,6257,329,27,5638,10521,4599,1100,7793,4423,1181,6033,600,2090,3617,22081,10,651,2524,838,2338,1301,28720
12188,29459,867,5780,345,219,11462,902,2211,436,44,4927,17256,3824,1581,10313,4205,1052,9731,50,15,875,12430,0,123,7993,188,5329,358,16910
