"Alistipes finegoldii","Alistipes putredinis","Bacteroides caccae","Bacteroides ovatus","Bacteroides sp. D1","Bacteroides thetaiotaomicron","Bacteroides uniformis","Bacteroides vulgatus","Bifidobacterium longum","Blautia coccoides","Blautia hansenii","Blautia hydrogenotrophica","Blautia sp. Ser8","Butyrivibrio fibrisolvens","Caloramator fervidus","Clostridium botulinum","Clostridium leptum","Clostridium polysaccharolyticum","Clostridium scindens","Clostridium sp. enrichment culture clone 7-25","Clostridium xylanolyticum","Coptotermes formosanus","Dethiobacter alkaliphilus","Eubacterium coprostanoligenes","Eubacterium eligens","Eubacterium limosum","Eubacterium rectale","Faecalibacterium prausnitzii","Heliobacterium modesticaldum","Kineococcus radiotolerans","Lachnospira multipara","Lachnospiraceae bacterium A4","Lactobacillus rhamnosus","Lactobacillus vaginalis","Listeria monocytogenes","Listeria seeligeri","Parabacteroides distasonis","Parabacteroides gordonii","Parabacteroides merdae","Parvimonas micra","Propionibacterium acnes","Reinekea blandensis","Roseburia faecis","Ruminococcus albus","Ruminococcus bromii","Ruminococcus gnavus","Ruminococcus torques","Selenomonas ruminantium","Synechococcus sp. WH 8109","Syntrophus aciditrophicus","uncultured bacterium","Bacteroides sp. WA1","all_others"
644,210,887,223,3460,324,4,6457,480,53,79,350,203,7,1166,191,52,152,589,41,31,343,924,0,1,219,21,4013,1359,3689,4,436,499,705,114,317,262,198,1012,1089,408,3998,3,9,153,81,5,202,1057,589,983,18,9218
669,7,4340,2761,3674,2,1673,11600,81,29,156,67,222,124,13,606,31,34,104,77,24,217,153,0,5,47,615,644,860,7466,5,162,36,166,9,6,2,9,4479,615,61,2108,117,76,4,32,108,152,332,53,135,43,5134
1722,620,3313,116,0,101,133,6021,3,321,83,1612,799,90,77,992,86,2748,413,98,64,490,3011,40,111,861,206,6768,2364,2453,35,1274,567,0,410,553,191,284,2,7618,705,9668,181,31,2307,311,354,427,0,0,1641,131,14728
3578,1640,3688,6,0,6,389,5056,0,3,2,1206,246,1,144,1008,18,277,203,367,22,342,346,1,0,140,5,2016,1205,370,0,1947,401,0,9,7,339,0,0,2457,3066,6839,0,4,129,94,30,38,0,0,915,0,12555
7155,3127,122,184,1966,1,79,8515,143,97,337,1111,604,141,2012,261,0,428,212,555,362,1649,0,2,41,1573,349,1861,0,3543,27,650,312,2058,77,0,420,189,7345,1,0,0,73,27,160,1346,130,305,639,2871,1542,1,11343
5790,1314,5410,421,0,1113,108,3509,0,121,104,793,353,53,263,513,52,922,309,147,98,470,2330,742,22,195,215,3311,1484,534,150,929,318,0,23,279,625,1217,4,2410,424,5762,41,219,173,106,159,148,0,0,1149,5,12307
1016,19,8174,305,0,6,2095,3447,0,244,27,408,560,84,49,1279,31,725,145,442,117,240,715,0,321,74,611,3699,2586,1113,93,716,933,0,65,131,2,2780,54,2325,167,3080,525,160,1581,5346,315,90,0,0,286,162,11351
7992,2030,0,83,8564,16,79,21948,69,109,52,2,246,62,313,154,0,3,76,220,20,914,0,1,68,2,249,920,0,7486,90,23,765,825,9,0,6025,1,5658,0,0,0,99,3,484,342,146,26,3918,36,183,584,22910
2225,1829,1891,44,0,0,309,1830,0,13,87,926,626,17,62,651,171,423,172,79,268,3312,2048,4,79,224,84,2157,1082,591,44,786,240,0,28,556,229,1,0,4012,431,6950,2,123,1781,44,32,447,0,0,1031,3,10288
1652,204,10,28,2110,411,11,3333,508,71,68,502,478,168,420,944,0,465,279,455,721,1269,0,144,170,368,689,2195,0,2780,154,667,434,4155,19,0,182,365,2229,2,0,0,148,1161,1256,31,148,714,1147,110,1807,177,14607
